[INFO] Di 01.07.2025 18:54:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:54:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:54:23 CEST → Läuft noch: N=1843200000, P=1
[18:54:27] P=1 done
[18:54:27] Messen mit P=2 ...[INFO] Di 01.07.2025 18:54:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:54:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:54:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:55:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:55:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:55:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:55:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:55:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:55:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:56:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:56:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:56:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:56:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:56:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:56:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:57:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:57:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:57:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:57:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:57:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:57:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:58:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:58:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:58:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:58:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:58:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:58:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:59:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:59:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:59:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:59:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:59:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 18:59:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:00:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:00:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:00:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:00:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:00:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:00:54 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:01:04 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:01:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:01:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:01:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:01:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:01:54 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:02:04 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:02:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:02:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:02:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:02:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:02:54 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:03:04 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:03:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:03:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:03:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:03:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:03:54 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:04:04 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:04:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:04:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:04:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:04:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:04:54 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:05:04 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:05:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:05:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:05:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:05:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:05:54 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:06:04 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:06:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:06:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:06:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:06:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:06:54 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:07:04 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:07:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:07:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:07:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:07:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:07:54 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:08:04 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:08:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:08:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:08:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Di 01.07.2025 19:08:44 CEST → Läuft noch: N=1843200000, P=2
